Rivers;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
COUESNON;97452;97452;97452;97452;97452;97452;97452;97452;97452;97452;97452;97452;97452;101012;101012;101012;101012;101012;101012;101012;110794;110794;110794;110794
LEFF;50500;50500;50500;50500;50500;50500;50500;50500;50500;50500;50500;50500;50500;72305;72305;72305;72305;72305;72305;72305;72305;72305;72305;72305
TRIEUX;155904;155904;155904;155904;155904;155904;155904;155904;155904;155904;155904;155904;155904;215992;215992;215992;215992;215992;215992;215992;213733;213733;213733;213733
JAUDY;103304;103304;103304;103304;103304;103304;103304;103304;103304;103304;103304;103304;103304;47561;47561;47561;47561;47561;47561;47561;47561;47561;47561;47561
LEGUER;192438;192438;192438;192438;192438;192438;192438;192438;192438;192438;192438;192438;192438;171893;171893;171893;171893;171893;171893;171893;197283;197283;197283;197283
YAR;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;28114;37104;37104;37104;37104
DOURON;45180;45180;45180;45180;45180;45180;45180;45180;45180;45180;45180;45180;45180;95451;95451;95451;95451;95451;95451;95451;95451;95451;95451;95451
QUEFFLEUTH;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;40357;68512;68512;68512;68512
PENZE;58165;58165;58165;58165;58165;58165;58165;58165;58165;58165;58165;58165;58165;97931;97931;97931;97931;97931;97931;97931;114289;114289;114289;106735
ELORN;113858;113858;113858;113858;113858;113858;113858;113858;113858;113858;113858;113858;113858;137542;137542;137542;137542;137542;137542;137542;137542;137542;137542;164699
MIGNONNE;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;38502;31823;31823;31823;31823
CAMFROUT;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;23662;30722;30722;30722;30722
FAOU;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;17726;5310;5310;5310;5310
AULNE;252600;252600;252600;252600;252600;252600;252600;252600;252600;252600;252600;252600;252600;252659;252659;252659;252659;252659;252659;252659;252659;252659;252659;252659
GOYEN;48890;48890;48890;48890;48890;48890;48890;48890;48890;48890;48890;48890;48890;53603;53603;53603;53603;53603;53603;53603;53603;53603;53603;53603
ODET;248976;248976;248976;248976;248976;248976;248976;248976;248976;248976;248976;248976;248976;246236;246236;246236;246236;246236;246236;246236;246236;246236;246236;249049
AVEN;74860;74860;74860;74860;74860;74860;74860;74860;74860;74860;74860;74860;74860;142686;142686;142686;142686;142686;142686;142686;142686;142686;142686;142686
ELLE;341980;341980;341980;341980;341980;341980;341980;341980;341980;341980;341980;341980;341980;658784;658784;658784;658784;658784;658784;658784;658784;658784;658784;669028
SCORFF;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;200811;229027
BLAVET;350763;350763;350763;350763;350763;350763;350763;350763;350763;350763;350763;350763;350763;386247;386247;386247;386247;386247;386247;386247;342946;342946;342946;393985
